Ts|SignalId|MeasurementValue
2021-11-07 23:59:03.762|427038|116,129
2021-11-07 23:57:48.259|427038|115,9581
2021-11-07 23:56:48.629|427038|116,0436
2021-11-07 23:55:22.226|427038|115,8727
2021-11-07 23:52:48.699|427038|115,7872
2021-11-07 23:51:40.298|427038|115,9581
2021-11-07 23:50:24.858|427038|115,7872
2021-11-07 23:49:42.315|427038|115,9581
2021-11-07 23:48:53.971|427038|115,7018
2021-11-07 23:47:40.962|427038|115,8727
2021-11-07 23:46:35.959|427038|115,7018
2021-11-07 23:44:05.837|427038|115,8727
2021-11-07 23:42:15.722|427038|115,7872
2021-11-07 23:40:58.205|427038|115,9581
2021-11-07 23:39:40.529|427038|115,7872
2021-11-07 23:38:56.948|427038|115,9581
2021-11-07 23:37:21.274|427038|115,7872
2021-11-07 23:36:06.813|427038|115,6163
2021-11-07 23:34:26.884|427038|115,7018
2021-11-07 23:33:35.040|427038|115,6163
2021-11-07 23:32:22.666|427038|115,7872
2021-11-07 23:29:32.567|427038|115,7018
2021-11-07 23:28:56.280|427038|115,9581
2021-11-07 23:28:10.211|427038|115,7018
2021-11-07 23:25:19.503|427038|115,5309
2021-11-07 23:24:15.768|427038|115,36
2021-11-07 23:23:30.224|427038|115,5309
2021-11-07 23:21:58.210|427038|115,36
2021-11-07 23:21:15.098|427038|115,5309
2021-11-07 23:18:46.423|427038|115,36
2021-11-07 23:16:24.740|427038|115,5309
2021-11-07 23:14:38.435|427038|115,6163
2021-11-07 23:12:32.737|427038|115,7018
2021-11-07 23:11:28.564|427038|115,5309
2021-11-07 23:09:37.804|427038|115,7018
2021-11-07 23:07:26.292|427038|115,8727
2021-11-07 23:06:31.479|427038|115,7018
2021-11-07 23:05:37.315|427038|115,6163
2021-11-07 23:04:27.025|427038|115,8727
2021-11-07 22:59:17.580|427038|115,5309
2021-11-07 22:55:09.552|427038|115,6163
2021-11-07 22:51:40.259|427038|115,36
2021-11-07 22:47:45.692|427038|115,4454
2021-11-07 22:45:45.447|427038|115,36
2021-11-07 22:44:25.908|427038|115,4454
2021-11-07 22:43:42.688|427038|115,1891
2021-11-07 22:42:23.902|427038|115,36
2021-11-07 22:38:27.029|427038|115,7018
2021-11-07 22:36:22.703|427038|115,7872
2021-11-07 22:35:49.647|427038|115,5309
2021-11-07 22:34:05.499|427038|115,6163
